PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Luka Doncic,2023,DAL,24,10,8,2,35.8,32.6,11.2,21.3,52.6,4.3,10.3,41.7,5.9,7.5,78.7,0.6,7.8,8.4,8.5,4.2,1.3,0.5,1.9,56.6,6,2,7.5
Joel Embiid,2023,PHI,29,9,8,1,33.7,32.4,11,21.8,50.5,1.3,3.7,36.4,9.1,10.8,84.5,3.4,8.2,11.7,5.7,3.8,0.7,2.1,2.4,59.5,7,0,7.8
Devin Booker,2023,PHX,27,2,1,1,36.1,31.5,11.5,20,57.5,4,7.5,53.3,4.5,4.5,100,1,6.5,7.5,10.5,5.5,0.5,0,4,52.3,1,0,1.5
De'Aaron Fox,2023,SAC,25,3,2,1,35.5,31.3,11.3,23.3,48.6,3,8,37.5,5.7,7,81,1,3.3,4.3,6,2.7,1.3,0.7,4,48.9,0,0,10
Stephen Curry,2023,GSW,35,11,6,5,32.5,30.7,9.5,19.5,48.8,5.6,12.6,44.6,6,6.5,93,0.9,3.7,4.6,3.9,3.7,1,0.2,1.5,42,0,0,0
Kevin Durant,2023,PHX,35,10,4,6,36.7,30,10.1,20.3,49.8,1.8,4.2,42.9,8,9.4,85.1,0.5,6.6,7.1,4.6,4.1,0.9,1.2,1.6,47.6,2,0,2.9
Nikola Jokic,2023,DEN,28,10,8,2,34.6,29.8,12,19.8,60.6,1.5,4.5,33.3,4.3,5.7,75.4,3.4,10.3,13.7,8.3,3.4,1,0.8,2.2,60.7,10,4,11.7
Donovan Mitchell,2023,CLE,27,8,4,4,35.9,29.5,10.6,21.9,48.6,3.3,9,36.1,5,5.5,90.9,1.1,4,5.1,5.5,2.6,2.3,0.6,2.4,49.9,0,0,3.6
Giannis Antetokounmpo,2023,MIL,28,10,6,4,32.5,29.5,11,18.9,58.2,0.6,2.4,25,6.9,10.8,63.9,2.3,7.3,9.6,3.6,4.3,0.9,1.3,2.9,48.7,6,0,2.5
Shai Gilgeous-Alexander,2023,OKC,25,9,6,3,35.6,29.4,11.2,21.3,52.6,1.2,3.9,31.4,5.8,6.4,89.7,0.7,6.3,7,6,2.3,2.1,0.8,2.2,53.2,2,0,5.4
Tyrese Maxey,2023,PHI,23,9,8,1,37.9,28.6,10.3,20.4,50.5,3.4,8,43.1,4.4,4.8,93,0.9,4.6,5.4,7.2,1.1,1,1,1.9,50.8,4,0,11.1
Anthony Edwards,2023,MIN,22,9,7,2,35.9,28.4,10.4,21.4,48.7,2.4,6.8,36.1,5.1,6.1,83.6,0.9,5.3,6.2,5.4,3.7,1.3,0.3,1.8,45.4,1,0,13.4
Jayson Tatum,2023,BOS,25,10,8,2,36.2,28.4,10.2,19.4,52.6,3.5,8.8,39.8,4.5,5.7,78.9,0.6,8.3,8.9,3.9,2.7,1.2,0.2,2.3,46.4,5,0,17.8
Cam Thomas,2023,BKN,22,8,4,4,32.4,26.9,9.9,20.6,47.9,2.1,6.6,32.1,5,5.9,85.1,0.3,3.5,3.8,2.1,1.3,0.9,0.6,1.9,37.8,0,0,-0.4
Desmond Bane,2023,MEM,25,10,2,8,35.4,26.5,9.8,21.6,45.4,3.5,9.9,35.4,3.4,4.1,82.9,0.7,4.1,4.8,4.5,2.7,1.6,1,3.2,44.1,0,0,-2.5
LeBron James,2023,LAL,38,9,4,5,35,25.2,9.7,17,56.9,1.8,5.1,34.8,4.1,6.2,66.1,0.6,7.9,8.4,5.4,4.1,1.3,1,1.6,46.4,3,0,3.4
Trae Young,2023,ATL,25,9,5,4,35.7,24.4,6.7,18.7,35.7,2.2,7.6,29.4,8.9,9.9,89.9,0.8,2.1,2.9,10.2,4.2,1.6,0,1.4,43.7,6,0,1.1
Lauri Markkanen,2023,UTA,26,10,3,7,33.5,24.2,8.1,16.7,48.5,4.1,9.2,44.6,3.9,4.4,88.6,2.4,6.2,8.6,1.6,1.7,0.9,0.8,2.5,40.3,4,0,-4.3
Kyle Kuzma,2023,WAS,28,10,2,8,30.3,24.1,9.6,19.8,48.5,2.4,6.8,35.3,2.5,3.2,78.1,1.2,4.9,6.1,3,2.2,0.2,0.5,1.7,35.8,1,0,-11.4
Anthony Davis,2023,LAL,30,9,5,4,37.2,23.9,8.7,16.4,52.7,0.3,0.9,37.5,6.2,7,88.9,3.1,8.9,12,3.7,1.3,0.8,3,2.9,53.8,7,0,-3.6
Tyrese Haliburton,2023,IND,23,9,6,3,33.2,23.8,8.3,16.1,51.7,3,7.3,40.9,4.1,4.3,94.9,0.4,3.4,3.9,12.2,2.3,1,0.7,1.1,49.4,8,0,6.9
Paul George,2023,LAC,33,9,3,6,33.4,23.6,7.4,15.9,46.9,3.1,7.9,39.4,5.6,6,92.6,0.6,4.8,5.3,3.7,3.2,2.3,0.1,2.7,39.6,0,0,6.8
Bam Adebayo,2023,MIA,26,9,6,3,34.6,23.2,8.4,16,52.8,0.1,0.2,50,6.2,7.8,80,2.6,7.9,10.4,3.8,3.1,1.2,1.4,2.2,46.3,5,1,0.2
Kyrie Irving,2023,DAL,31,8,6,2,33.6,23,8.5,18.5,45.9,2.8,6.9,40,3.3,3.6,89.7,0.8,3.6,4.4,6.8,1.8,1.4,0.5,1.9,42.3,2,0,4.1
